Trade Date, Owner, Player Received, Points Since Trade, Owner Two, Player Recevied, Points Since Trade
1660228615300, A Team of White Sox, Dylan Cease, 19, I Did  Half a Xan, Dane Dunning, 4
, , , , , , 
1660058846283, Trea's Gaze, David Robertson, 15, LeMahoe Round 2, Jhoan Duran, 14
, , , , , Jose Miranda, 1
, , , , , , 
1660051920093, Trea's Gaze, Kris Bubic, 11, The Cavemen, Braxton Garrett, 15
, , Javier Baez, 9, , , 
, , , , , , 
1660050236806, Trea's Gaze, David Bednar, 0, I Did  Half a Xan, Julio Urias, 46
, , Fernando Tatis Jr., 0, , , 
, , , , , , 
1660049532414, I Did  Half a Xan, Fernando Tatis Jr., 0, The Cavemen, Chris Bassitt, 17
, , , , , , 
1659986545202, All about The Mets, Seiya Suzuki, 17, Bo's Biches, Nick Castellanos, 3
, , , , , , 
1659986095629, The Cavemen, Starling Marte, 12, LeMahoe Round 2, Cole Irvin, 20
, , , , , , 
1659974581709, The Cavemen, Fernando Tatis Jr., 0, I Did  Half a Xan, Chris Bassitt, 46
, , , , , , 
1659968107601, A Team of White Sox, Dane Dunning, 4, I Did  Half a Xan, Dylan Cease, 19
, , , , , , 
1659887549724, LeMahoe Round 2, Ke'Bryan Hayes, 10, The Cavemen, Jon Berti, -1
, , , , , , 
1659883307892, Trea's Gaze, Braxton Garrett, 15, LeMahoe Round 2, Kutter Crawford, 15
, , , , , , 
1659837671819, The Cavemen, Ke'Bryan Hayes, 10, A Team of White Sox, Jean Segura, 15
, , Alexis Diaz, 30, , Logan Webb, 53
, , Martin Perez, 8, , Garrett Cooper, 5
, , Framber Valdez, 30, , A.J. Puk, 7
, , Alec Bohm, 14, , Patrick Sandoval, 3
, , , , , Byron Buxton, 16
, , , , , , 
1659754044305, Thanks Ohtani, Marco Gonzales, 11, LeMahoe Round 2, Wil Crowe, -1
, , , , , , 
1659629482865, Trea's Gaze, Steven Kwan, 30, Handy Diaz Nuts, Yandy Diaz, 16
, , , , , , 
1659039919638, A Team of White Sox, Chris Archer, 26, All about The Mets, Nick Castellanos, 40
, , Garrett Whitlock, 41, , Craig Kimbrel, 20
, , Framber Valdez, 61, , Triston McKenzie, 62
, , , , , , 
1658410981908, Trea's Gaze, Esteury Ruiz, 0, A Team of White Sox, Chris Sale, 0
, , , , , , 
1658410900492, A Team of White Sox, Ryan Mountcastle, 23, Trea's Gaze, Kyle Lewis, -1
, , , , , Chris Sale, 0
, , , , , , 
1658155257065, Trea's Geas, Hunter Renfroe, 64, Trea's Gaze, Zach Plesac, 20
, , , , , , 
1657876684274, Trea's Gaze, Freddy Peralta, 24, EATING Astros, Marcus Stroman, 84
, , Taylor Rogers, 24, , Ian Anderson, 44
